trial,t,x,y
5,0.0,3,2
5,0.4614958400015894,5,8
5,0.46819599499940523,11,13
5,0.4751938200024597,18,19
5,0.4821675800012599,24,24
5,0.48915913100063335,29,30
5,0.4962404569996579,34,35
5,0.5033620200010773,38,39
5,0.5103311290004058,42,43
5,0.5172972620021028,46,46
5,0.5243168410015642,49,49
5,0.53130591900117,52,51
5,0.5383210600011807,54,53
5,0.5453881800021918,55,54
5,0.5526093570006196,56,55
5,0.5596973850006179,57,55
5,0.5665721410005062,57,56
5,0.5736089330021059,57,56
5,0.5804535010029213,58,56
5,0.587533745001565,58,57
5,0.5945046000015282,58,57
5,0.6015105670012417,59,57
5,0.6086249030013278,59,58
5,0.6157709069993871,59,58
5,0.6226550880019204,60,58
5,0.6436383840009512,60,58
5,0.6789463580025767,60,58
5,0.6859371040009137,60,59
5,0.6932385310028621,61,59
5,0.7001852590001363,61,59
5,0.7071390210003301,61,60
5,0.7138928109998233,62,60
5,0.7212719400013157,62,60
5,0.7282334960000298,62,61
5,0.7352494360020501,63,61
5,0.7419445460000134,63,61
5,0.7492514610021317,63,62
5,0.7560581720026676,64,62
5,0.7632647499995073,64,62
5,0.7701835110019601,64,63
5,0.777291194001009,65,63
5,0.7842019880008593,65,63
5,0.7911546450013702,65,64
5,0.7982950500008883,66,64
5,0.8051428329999908,66,64
5,0.811971587001608,66,64
5,0.8191687370017462,67,64
5,0.8262371500022709,67,64
5,0.8333154140018451,67,64
5,0.8402672789998178,68,64
5,0.8471355690016935,68,64
5,0.8541615899994213,68,65
5,0.8612258210014261,69,65
5,0.8681472019998182,69,65
5,0.875202300001547,69,65
5,0.8820385380022344,70,66
5,0.8890818120016775,70,66
5,0.896326100002625,70,66
5,0.9034714740009804,70,66
5,0.9104428999999072,71,66
5,0.9173495800023375,71,66
5,0.9243745090025186,71,66
5,0.9314614380018611,72,66
5,0.9383733159993426,72,66
5,0.9454742779998924,72,67
5,0.9522920700001123,73,67
5,0.9595442690006166,73,67
5,0.9664404510003806,73,67
5,0.9735045830020681,74,67
5,0.980497025000659,74,67
5,0.9876502150000306,74,67
5,0.994623345999571,74,67
5,1.0016563019999012,75,67
5,1.0441823060027673,75,68
5,1.078882904999773,75,68
5,1.0858708110026782,75,68
5,1.107158574002824,75,68
5,1.1212752190003812,75,69
5,1.142127890001575,75,69
5,1.32464532800077,75,69
5,1.338510606001364,76,70
5,1.401753712001664,76,71
5,1.416066943002079,77,71
5,1.42313821100106,77,72
5,1.4300386590002745,77,72
5,1.4371292350006115,78,72
5,1.443651272002171,78,73
5,1.450785373999679,78,74
5,1.4578445730003295,79,74
5,1.4726847790007014,79,76
5,1.478899210000236,80,76
5,1.4860253520018887,80,77
5,1.5072740140021779,80,77
5,1.5141198800010898,80,78
5,1.5212672110028507,80,78
5,1.5283511630004796,80,78
5,1.5352006249995611,80,78
5,1.542281976002414,80,79
5,1.640517613999691,80,79
5,1.8724179710006865,80,79
6,0.0,0,-1
6,0.36237903499932145,-2,1
6,0.36992157799977576,-1,1
6,0.376920261001942,0,2
6,0.3836251259999699,1,3
6,0.3909102130019164,4,6
6,0.3978554550012632,8,8
6,0.40490768200106686,12,12
6,0.4119296330027282,18,16
6,0.4187541190003685,23,20
6,0.4259685030010587,28,24
6,0.43286083100247197,32,28
6,0.43982497999968473,38,33
6,0.4468854500009911,43,39
6,0.45377452400134644,49,45
6,0.4607653240018408,56,51
6,0.4678781610018632,61,56
6,0.47496253800272825,65,61
6,0.4818246739996539,69,64
6,0.48884382500182255,72,67
6,0.4958960460025992,75,69
6,0.5029726700013271,77,71
6,0.5098629839994828,80,74
6,0.5170122290001018,82,76
6,0.5240318680007476,85,78
6,0.5312241579995316,87,81
6,0.5380066050020105,90,83
6,0.5449073039999348,92,85
6,0.5520480140003201,95,88
6,0.5590530990011757,97,91
6,0.5660201890023018,99,93
6,0.5731384150021768,102,96
6,0.5799984120021691,104,99
6,0.5872574630011513,105,101
6,0.5941935600021679,107,103
6,0.6012217570023495,108,104
6,0.6082018369997968,109,105
6,0.6152904800001124,110,106
6,0.6222691600014514,110,107
6,0.6299504950002301,111,108
6,0.6362078999991354,111,108
6,0.6430569950025529,111,109
6,0.6503098489993135,112,110
6,0.6786886310001137,112,110
6,0.6854109430023527,112,111
6,0.6927124200010439,112,112
6,0.6995867069999804,112,112
6,0.7065346490016964,112,112
6,0.7138627429994813,113,113
6,0.7204079889997956,113,113
6,0.7279379430001427,114,113
6,0.7349601500027347,114,114
6,0.7418579559998761,114,114
6,0.7486421460016572,115,114
6,0.755727408999519,115,115
6,0.7625876919992152,115,115
6,0.7696970860015426,116,116
6,0.7771965280007862,116,116
6,0.7841459230003238,117,117
6,0.7910159780003596,118,118
6,0.7978626590011118,118,118
6,0.8043323870006134,119,119
6,0.8119379689997004,120,120
6,0.8188867440003378,120,120
6,0.8260115800003405,121,121
6,0.8330883220005489,121,121
6,0.8399225450011727,122,122
6,0.8469530870024755,122,122
6,0.8540091159993608,122,123
6,0.8609311600012006,123,123
6,0.8679780320017016,123,123
6,0.8750166570025613,123,124
6,0.881978967001487,124,124
6,0.888868818001356,124,124
6,0.8959991049996461,124,124
6,0.9031405140012794,125,124
6,0.9171583160023147,125,124
6,0.9240889120010252,125,124
6,0.9313123489991995,126,124
6,0.9382029040025373,127,126
6,0.9452115460007917,129,127
6,0.9520225870001013,130,128
6,1.1139944410024327,130,128
7,0.0,4,0
7,0.4537555440001597,2,6
7,0.4605776250027702,2,12
7,0.4675449220012524,2,19
7,0.4746459930029232,2,27
7,0.48157550300311414,2,36
7,0.48882314799993765,2,45
7,0.4959043119997659,2,52
7,0.5029293130028236,2,58
7,0.5099711270013358,2,62
7,0.5165919230021245,2,66
7,0.5239663720021781,2,69
7,0.5310582630008867,2,71
7,0.5377068800007692,2,73
7,0.545071745000314,2,74
7,0.5521249920020637,2,76
7,0.5590783890002058,2,77
7,0.5657714520020818,2,78
7,0.5730884650001826,2,80
7,0.5798693370015826,2,81
7,0.5868678389997513,2,82
7,0.5938116460019955,2,84
7,0.6007308389998798,2,86
7,0.6081709880018025,1,88
7,0.6148726980027277,1,91
7,0.6219731550008873,0,94
7,0.6290404310020676,0,96
7,0.6360845060007705,0,99
7,0.6430568570031028,0,101
7,0.6501079650006432,0,103
7,0.6568775240011746,0,104
7,0.6641081470006611,0,105
7,0.6711779770012072,-1,106
7,0.6780862049999996,-1,107
7,0.6849925580027048,-1,107
7,0.6920804220026184,-2,108
7,0.699037242000486,-2,109
7,0.7060912130000361,-2,110
7,0.7130920740019064,-3,111
7,0.7200810840004124,-3,112
7,0.7274102680021315,-4,114
7,0.7338948320029886,-4,117
7,0.7409376160030661,-5,119
7,0.7483299150007952,-6,122
7,0.755289669999911,-6,125
7,0.762307865999901,-7,129
7,0.7695349090026866,-8,131
7,0.7762117380007112,-8,133
7,0.7833226729999296,-9,135
7,0.7904771540015645,-9,136
7,0.7974700810009381,-9,137
7,0.804502353999851,-10,138
7,0.8115395630011335,-10,139
7,0.8186079680017428,-11,140
7,0.8255560960024013,-11,140
7,0.8325910470011877,-11,141
7,0.8394927850022214,-11,141
7,0.8469631900006789,-11,142
7,0.8536197680004989,-11,143
7,0.8604562820000865,-11,143
7,0.8680690310029604,-11,144
7,0.875098466000054,-11,145
7,0.8813712139999552,-11,145
7,0.8886976270005107,-11,146
7,0.8958788529998856,-11,147
7,0.9031575720000546,-11,147
7,0.9102628670007107,-11,149
7,0.9168233800010057,-11,149
7,0.923849066002731,-11,150
7,0.9306234600007883,-11,151
7,0.9377097590004269,-11,151
7,0.9448946580014308,-11,152
7,0.9522003310012224,-11,153
7,0.9592656020031427,-11,154
7,0.9660581260031904,-11,155
7,0.9733210560007137,-10,156
7,0.9801861380001355,-9,158
7,0.9870238300027268,-9,161
7,0.9944800410012249,-8,163
7,1.0012642930014408,-7,166
7,1.008292414000607,-6,169
7,1.0152401300001657,-5,171
7,1.0219201970030554,-4,172
7,1.0293233230004262,-4,174
7,1.0363266300009855,-4,175
7,1.0431925900011265,-4,175
7,1.0504627219997928,-4,176
7,1.0572037279998767,-4,176
7,1.0643087759999617,-4,177
7,1.0714560449996497,-4,177
7,1.0781626450007025,-4,178
7,1.0853036740008974,-4,178
7,1.092312173001119,-4,178
7,1.0994012070004828,-4,178
7,1.2470851700018102,-4,178
7,1.2541527720022714,-4,178
7,1.260866659002204,-4,177
7,1.268189345002611,-4,177
7,1.4854151810031908,-4,177
8,0.0,-1,-1
